CustomerID,City,OnlineCommunication,AutomaticRefill,DoorstepDelivery,PreferredDeliveryDay,OrderQuantity,EmailType,MailOpened,MailClicked,CustomMails,CustomMail_Open,CustomMail_No,MailClicked_Open,MailClicked_No,MonthOfRegistration,MonthOfemail,YearOfRegistration,YearOfemail,Date_of_Registration,Date_of_email,RetentionPotential
C12121,CITY1,1,0,0,Friday,52,WelcomeEmail,yes,NotApplicable,24,8,16,3,21,12,12,2017,2017,4,4,Medium
C12132,CITY3,1,0,0,Tuesday,40,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,10,10,2013,2013,20,20,Medium
C12134,CITY3,1,0,0,Monday,40,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,9,9,2013,2013,18,18,Medium
C12135,CITY3,1,0,1,Wednesday,41,WelcomeEmail,yes,NotApplicable,29,8,21,5,24,11,11,2017,2017,1,1,Medium
C12136,CITY2,1,0,0,Thursday,79,WelcomeEmail,yes,NotApplicable,41,3,38,1,40,9,9,2013,2013,28,28,Low
C12139,CITY2,1,0,0,Tuesday,91,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,4,4,2011,2011,11,11,Low
C12142,CITY4,1,1,0,Monday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,1,1,2014,2014,6,6,Low
C12146,CITY4,1,0,0,Wednesday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,9,9,2013,2013,15,15,Low
C12148,CITY4,1,0,0,Friday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,9,9,2013,2013,9,9,Low
C12157,CITY2,1,0,0,Wednesday,179,WelcomeEmail,yes,NotApplicable,27,13,14,0,27,10,10,2013,2013,4,4,Low
C12163,CITY4,0,0,0,Tuesday,117,WelcomeEmail,yes,NotApplicable,46,1,45,0,46,10,10,2012,2012,28,28,Low
C12167,CITY4,1,0,0,Wednesday,39,WelcomeEmail,yes,NotApplicable,28,7,21,4,24,11,11,2013,2013,2,2,Low
C12175,CITY2,0,0,0,Friday,62,WelcomeEmail,yes,NotApplicable,16,0,16,0,16,1,1,2016,2016,16,16,Low
C12186,CITY4,1,0,0,Monday,41,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,8,8,2013,2013,29,29,Low
C12198,CITY2,0,0,0,Thursday,65,WelcomeEmail,yes,NotApplicable,46,3,43,1,45,5,5,2011,2011,13,13,Low
C12202,CITY3,1,0,0,Saturday,67,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,10,10,2012,2012,28,28,Medium
C12203,CITY4,1,0,0,Thursday,102,WelcomeEmail,yes,NotApplicable,43,2,41,0,43,8,8,2017,2017,1,1,Low
C12212,CITY3,1,0,0,Wednesday,40,WelcomeEmail,yes,NotApplicable,45,4,41,1,44,9,9,2013,2013,24,24,Medium
C12218,CITY3,1,0,0,Wednesday,73,WelcomeEmail,yes,NotApplicable,23,11,12,2,21,11,11,2013,2013,3,3,Medium
C12219,CITY4,1,0,0,Monday,3860,WelcomeEmail,yes,NotApplicable,48,43,5,1,47,4,4,2012,2012,26,26,Low
C12222,CITY4,0,0,0,Thursday,1922,WelcomeEmail,yes,NotApplicable,8,2,6,0,8,12,12,2012,2012,15,15,Low
C12239,CITY4,0,0,0,Tuesday,81,WelcomeEmail,yes,NotApplicable,36,10,26,3,33,5,5,2013,2013,19,19,Low
C12244,CITY3,0,0,0,Friday,82,WelcomeEmail,yes,NotApplicable,45,0,45,0,45,5,5,2013,2013,13,13,Medium
C12246,CITY4,0,0,0,Tuesday,23,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,7,7,2014,2014,13,13,Low
C12251,CITY3,1,0,0,Tuesday,71,WelcomeEmail,yes,NotApplicable,39,2,37,2,37,9,9,2013,2013,2,2,Medium
C12257,CITY3,0,1,0,Tuesday,204,WelcomeEmail,yes,NotApplicable,41,12,29,6,35,6,6,2013,2013,5,5,Low
C12258,CITY3,0,0,1,Saturday,2286,WelcomeEmail,yes,NotApplicable,55,1,54,1,54,3,3,2013,2013,16,16,Medium
C12259,CITY4,0,0,0,Friday,272,WelcomeEmail,yes,NotApplicable,45,0,45,0,45,4,4,2012,2012,16,16,Low
C12260,CITY3,1,0,0,Monday,60,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,10,10,2013,2013,5,5,Medium
C12270,CITY3,1,0,0,Thursday,36,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,12,12,2017,2017,19,19,Low
C12285,CITY3,1,0,0,Tuesday,73,WelcomeEmail,yes,NotApplicable,32,3,29,0,32,10,10,2013,2013,25,25,Medium
C12287,CITY3,1,0,0,Friday,36,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,12,12,2013,2013,4,4,Medium
C12313,CITY2,0,0,0,Monday,44,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,9,9,2012,2012,10,10,Low
C12319,CITY4,1,0,0,Thursday,41,WelcomeEmail,yes,NotApplicable,41,4,37,0,41,9,9,2013,2013,19,19,Low
C12332,CITY3,1,0,0,Thursday,61,WelcomeEmail,yes,NotApplicable,33,32,1,3,30,10,10,2013,2013,14,14,Low
C12336,CITY2,0,0,0,Tuesday,129,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,3,3,2015,2015,3,3,Low
C12339,CITY4,0,0,0,Wednesday,55,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,11,11,2011,2011,15,15,Low
C12343,CITY3,1,0,0,Tuesday,46,WelcomeEmail,yes,NotApplicable,0,0,0,0,0,1,1,2014,2014,7,7,Medium
